,date,team_id,team_points_total,3P%,3P_made,FG%,FG_made,Total_Reb,team_Ast,WinPct
65,2007-05-14,3,85,0.2631578947368421,5,0.36,27,41,21,54.54545454545454
66,2007-05-15,29,100,0.29411764705882354,5,0.4457831325301205,37,59,19,69.23076923076923
67,2007-05-15,9,92,0.2631578947368421,5,0.4230769230769231,33,37,17,77.77777777777779
68,2007-05-16,24,85,0.3888888888888889,7,0.4025974025974026,31,42,18,60.0
69,2007-05-16,6,72,0.26666666666666666,4,0.3333333333333333,24,45,13,77.77777777777779
70,2007-05-17,5,85,0.2777777777777778,5,0.37333333333333335,28,35,23,54.54545454545454
71,2007-05-18,27,114,0.3181818181818182,7,0.48863636363636365,43,43,22,66.66666666666666
72,2007-05-18,3,72,0.1875,3,0.37681159420289856,26,42,17,53.84615384615385
73,2007-05-20,27,108,0.45454545454545453,5,0.5428571428571428,38,33,26,69.23076923076923
74,2007-05-21,9,79,0.35714285714285715,5,0.4305555555555556,31,41,25,81.81818181818183
75,2007-05-22,27,105,0.5,13,0.5555555555555556,40,44,28,71.42857142857143
76,2007-05-24,9,79,0.5454545454545454,6,0.4444444444444444,32,37,23,83.33333333333334
77,2007-05-26,29,109,0.6666666666666666,6,0.5324675324675324,41,31,26,62.5
78,2007-05-27,6,88,0.46153846153846156,6,0.4925373134328358,33,34,20,69.23076923076923
79,2007-05-28,29,79,0.14285714285714285,1,0.47058823529411764,32,38,18,58.82352941176471
80,2007-05-29,6,91,0.2857142857142857,4,0.4411764705882353,30,34,16,71.42857142857143
81,2007-05-30,27,109,0.4666666666666667,7,0.5131578947368421,39,43,22,70.58823529411765
82,2007-05-31,9,107,0.2857142857142857,4,0.425,34,45,18,66.66666666666666
83,2007-06-02,6,98,0.42857142857142855,9,0.3888888888888889,28,53,19,75.0
84,2007-06-07,27,85,0.375,6,0.4533333333333333,34,43,18,72.22222222222221
85,2007-06-10,27,103,0.3333333333333333,8,0.4805194805194805,37,46,21,73.68421052631578
86,2007-06-12,6,72,0.15789473684210525,3,0.3670886075949367,29,48,19,63.1578947368421
87,2007-06-14,6,82,0.3181818181818182,7,0.38095238095238093,32,42,23,60.0
88,2007-10-30,27,106,0.25,6,0.47126436781609193,41,40,21,100.0
89,2007-10-30,14,93,0.25,2,0.42105263157894735,32,37,18,0.0
90,2007-10-30,10,96,0.2608695652173913,6,0.4155844155844156,32,37,19,0.0
91,2007-10-31,28,106,0.5625,9,0.4823529411764706,41,37,23,100.0
92,2007-10-31,22,102,0.5454545454545454,12,0.4383561643835616,32,42,15,100.0
93,2007-10-31,19,104,0.47619047619047616,10,0.5064935064935064,39,44,23,100.0
94,2007-10-31,3,112,0.375,9,0.4024390243902439,33,48,24,100.0
95,2007-10-31,15,101,0.43478260869565216,10,0.475,38,42,21,0.0
96,2007-10-31,12,119,0.4482758620689655,13,0.41304347826086957,38,56,20,100.0
97,2007-10-31,8,120,0.4074074074074074,11,0.46153846153846156,42,50,31,100.0
98,2007-10-31,6,74,0.25,3,0.36363636363636365,28,47,13,0.0
99,2007-11-01,29,95,0.21428571428571427,3,0.4444444444444444,36,44,24,50.0
